asset,entry_ts,entry_price,direction,take_profit,stop_loss,position_usd,leverage,confidence,entry_confidence,breakeven_activated,rr_ratio,max_hold_bar,exit_ts,exit_price,outcome,pnl_usd,fold
ADA,2024-11-15 20:00:00+00:00,0.6993205547332764,-1.0,0.5175254948139191,0.7216667228128228,2500.0,2.0,0.8886427283287048,0.8886427283287048,False,8.14,2024-11-21 00:00:00+00:00,2024-11-16 00:00:00+00:00,0.7034739255905151,mss_invalidation,-18.097879234805564,1
TRX,2024-11-16 08:00:00+00:00,0.19806846976280212,-1.0,0.17416071987152099,0.20100719976850917,6227.377650956492,5.0,0.9816255569458008,0.9816255569458008,False,8.14,2024-11-21 12:00:00+00:00,2024-11-16 16:00:00+00:00,0.20100719976850917,sl,-100.49081963484419,1
SUI,2024-11-16 00:00:00+00:00,3.8524248600006104,-1.0,2.927023724555969,3.9661747568505152,3736.4265905738957,3.0,0.9351180195808411,0.9351180195808411,False,8.14,2024-11-21 04:00:00+00:00,2024-11-21 04:00:00+00:00,3.5232067108154297,time,315.5688139832391,1
LINK,2024-11-18 12:00:00+00:00,15.158904075622559,-1.0,12.195677326202393,15.523142592498234,2440.705650565175,2.0,0.912121593952179,0.912121593952179,False,8.14,2024-11-23 16:00:00+00:00,2024-11-22 20:00:00+00:00,15.264217376708984,mss_invalidation,-20.129207045770624,1
AVAX,2024-11-22 20:00:00+00:00,43.03418731689453,-1.0,34.12603108215332,44.12917392757961,2588.4254540339093,2.0,0.8669366240501404,0.8669366240501404,False,8.14,2024-11-28 00:00:00+00:00,2024-11-23 00:00:00+00:00,43.07826614379883,mss_invalidation,-6.016211651324077,1
AVAX,2024-11-23 00:00:00+00:00,43.82176208496094,-1.0,34.72199592590332,44.94030130250113,3878.126022312371,3.0,0.9541893601417542,0.9541893601417542,False,8.14,2024-11-28 04:00:00+00:00,2024-11-25 04:00:00+00:00,44.94030130250113,sl,-104.02973409266237,1
UNI,2024-11-25 04:00:00+00:00,11.51230525970459,-1.0,8.712875244140625,11.856409954752241,2533.402481161916,2.0,0.8573907017707825,0.8573907017707825,False,8.14,2024-11-30 08:00:00+00:00,2024-11-25 08:00:00+00:00,11.509345054626465,mss_invalidation,-2.6419993168760167,1
UNI,2024-11-25 08:00:00+00:00,11.815825462341309,-1.0,9.032994876861572,12.157889762810298,2532.0814815034782,2.0,0.8520213961601257,0.8520213961601257,False,8.14,2024-11-30 12:00:00+00:00,2024-11-25 12:00:00+00:00,11.816547393798828,mss_invalidation,-3.446412787555184,1
SUI,2024-11-26 08:00:00+00:00,3.0469741821289062,-1.0,2.3341224288940428,3.134597603252956,2530.3582751097006,2.0,0.9000135660171509,0.9000135660171509,False,8.14,2024-12-01 12:00:00+00:00,2024-11-26 12:00:00+00:00,3.134597603252956,sl,-76.05629457919416,1
FIL,2024-11-30 12:00:00+00:00,6.640239238739014,-1.0,5.623130937576294,6.765261739696776,2492.3301278201034,2.0,0.873119592666626,0.873119592666626,False,8.14,2024-12-05 16:00:00+00:00,2024-11-30 16:00:00+00:00,6.636902809143066,mss_invalidation,-1.9877423580617415,1
FIL,2024-11-30 16:00:00+00:00,6.9931230545043945,-1.0,5.824183620452881,7.136808570929936,2491.3362566410724,2.0,0.8864853382110596,0.8864853382110596,False,8.14,2024-12-05 20:00:00+00:00,2024-11-30 20:00:00+00:00,6.993466377258301,mss_invalidation,-3.3610476403798133,1
FIL,2024-11-30 20:00:00+00:00,7.106132984161377,-1.0,5.877159854888916,7.2571978157588415,3734.4835992313238,3.0,0.9336374402046204,0.9336374402046204,False,8.14,2024-12-06 00:00:00+00:00,2024-12-02 16:00:00+00:00,7.2571978157588415,sl,-84.24387716413129,1
LINK,2024-12-02 16:00:00+00:00,23.90398597717285,-1.0,18.63361604309082,24.55181751033238,2447.533794238817,2.0,0.9123280048370361,0.9123280048370361,False,8.14,2024-12-07 20:00:00+00:00,2024-12-02 20:00:00+00:00,23.81458282470703,mss_invalidation,5.9722123148384325,1
NEAR,2024-12-02 20:00:00+00:00,7.431777477264404,-1.0,6.100478391647339,7.595420170000621,3675.7798505943542,3.0,0.9448009729385376,0.9448009729385376,False,8.14,2024-12-08 00:00:00+00:00,2024-12-04 08:00:00+00:00,7.433109760284424,mss_invalidation,-5.437465058721021,1
UNI,2024-12-04 08:00:00+00:00,15.914740562438965,-1.0,12.036351913452147,16.39147037383488,2447.801167866876,2.0,0.9166181683540344,0.9166181683540344,False,8.14,2024-12-09 12:00:00+00:00,2024-12-06 12:00:00+00:00,16.130678176879883,mss_invalidation,-36.3948943583437,1
