asset,entry_ts,entry_price,direction,take_profit,stop_loss,position_usd,leverage,confidence,entry_confidence,breakeven_activated,rr_ratio,max_hold_bar,trail_active,trail_peak,trail_stop,exit_ts,exit_price,outcome,pnl_usd
UNI,2025-11-22 20:00:00+00:00,6.161,1.0,7.0839327422346425,5.805808963133064,3750.0,3.0,0.9311713576316833,0.9311713576316833,False,2.6,2025-11-28 00:00:00+00:00,True,6.356,6.28309668,2025-11-23 04:00:00+00:00,6.28309668,trailing_sl_hit,69.4412717091383
APT,2025-11-24 08:00:00+00:00,2.268,-1.0,1.9219199999999996,2.31054,6336.801589636423,5.0,0.9737576842308044,0.9737576842308044,False,8.14,2025-11-29 12:00:00+00:00,True,2.236,2.2616469200000004,2025-11-24 12:00:00+00:00,2.2616469200000004,trailing_sl_hit,9.512690315784475
ATOM,2025-11-24 12:00:00+00:00,2.438,1.0,2.596362998206313,2.3770539364785517,3809.2154715186916,3.0,0.9649982452392578,0.9649982452392578,False,2.6,2025-11-29 16:00:00+00:00,True,2.533,2.50394649,2025-11-24 20:00:00+00:00,2.50394649,trailing_sl_hit,98.08509535886841
DOT,2025-11-25 12:00:00+00:00,2.223,-1.0,1.8604400000000005,2.267565714285714,3882.7792930378437,3.0,0.9518987536430359,0.9518987536430359,False,8.14,2025-11-30 16:00:00+00:00,False,,,2025-11-25 20:00:00+00:00,2.267565714285714,sl,-82.88784367384686
AVAX,2025-11-26 16:00:00+00:00,14.55,1.0,15.292858687822626,14.6235,6367.689017137431,5.0,0.9741113781929016,0.9741113781929016,True,2.6,2025-12-01 20:00:00+00:00,True,15.27,15.0948531,2025-11-28 12:00:00+00:00,15.0948531,trailing_sl_hit,230.1725266710737
APT,2025-11-29 08:00:00+00:00,2.078,-1.0,1.750048,2.118311714285714,3993.2428052857636,3.0,0.9652205109596252,0.9652205109596252,False,8.14,2025-12-04 12:00:00+00:00,True,1.973,1.9956303100000004,2025-11-29 16:00:00+00:00,1.9956303100000004,trailing_sl_hit,153.09664381709229
ICP,2025-11-29 12:00:00+00:00,3.989,1.0,4.451535714285714,3.8656571428571427,1996.6214026428818,2.0,0.8982154130935669,0.8982154130935669,False,3.75,2025-12-04 16:00:00+00:00,True,4.077,4.03023681,2025-11-30 04:00:00+00:00,4.03023681,trailing_sl_hit,18.04472745425742
OP,2025-11-29 16:00:00+00:00,0.3256,1.0,0.3488436013496363,0.31665469067669066,2738.7101920990553,2.0,0.9069246053695679,0.9069246053695679,False,2.6,2025-12-04 20:00:00+00:00,True,0.3304,0.326610312,2025-11-30 08:00:00+00:00,0.326610312,trailing_sl_hit,4.937685876806907
ATOM,2025-11-29 08:00:00+00:00,2.43,1.0,2.547920834685884,2.3846181193670937,1331.0809350952545,1.0,0.8187381625175476,0.8187381625175476,False,2.6,2025-12-04 12:00:00+00:00,False,,,2025-11-30 20:00:00+00:00,2.417,mss_invalidation,-8.851414333417562
AVAX,2025-11-30 16:00:00+00:00,14.0,1.0,14.744987222744754,13.713291367842649,1375.100699382294,1.0,0.8055388927459717,0.8055388927459717,False,2.6,2025-12-05 20:00:00+00:00,False,,,2025-11-30 20:00:00+00:00,14.0,mss_invalidation,-1.787630909196982
ATOM,2025-11-30 20:00:00+00:00,2.376,-1.0,2.16794,2.4015746428571427,4117.32281421492,3.0,0.9615901708602905,0.9615901708602905,False,8.14,2025-12-06 00:00:00+00:00,True,2.244,2.2697386800000006,2025-12-01 04:00:00+00:00,2.2697386800000006,trailing_sl_hit,178.7855936010279
