asset,entry_ts,entry_price,direction,take_profit,stop_loss,position_usd,leverage,confidence,entry_confidence,breakeven_activated,rr_ratio,max_hold_bar,exit_ts,exit_price,outcome,pnl_usd,fold
ATOM,2023-10-22 20:00:00+00:00,6.755,-1.0,6.18026,6.8256467857142855,2500.0,2.0,0.9068074226379395,0.9068074226379395,False,8.14,2023-10-28 00:00:00+00:00,2023-10-23 00:00:00+00:00,6.754,mss_invalidation,-2.8799037749813716,1
OP,2023-10-22 20:00:00+00:00,1.316,-1.0,1.1705640000000004,1.3338769285714285,2500.0,2.0,0.8981594443321228,0.8981594443321228,False,8.14,2023-10-28 00:00:00+00:00,2023-10-23 00:00:00+00:00,1.316,mss_invalidation,-3.25,1
LINK,2023-10-22 20:00:00+00:00,10.19,-1.0,7.8729119999999995,10.474815428571429,1250.0,1.0,0.834295928478241,0.834295928478241,False,8.14,2023-10-28 00:00:00+00:00,2023-10-23 00:00:00+00:00,10.189,mss_invalidation,-1.5023307163886845,1
AVAX,2023-10-23 00:00:00+00:00,10.23,-1.0,8.90336,10.39307,6240.459706885787,5.0,0.9885176420211792,0.9885176420211792,False,8.14,2023-10-28 04:00:00+00:00,2023-10-23 20:00:00+00:00,10.2,mss_invalidation,10.187870729687843,1
POL,2023-10-23 00:00:00+00:00,0.6198,-1.0,0.5384712000000003,0.6297969,6240.459706885787,5.0,0.977505624294281,0.977505624294281,False,8.14,2023-10-28 04:00:00+00:00,2023-10-23 20:00:00+00:00,0.6297969,sl,-108.76644021941355,1
AVAX,2023-10-23 20:00:00+00:00,10.58,-1.0,8.936119999999999,10.782065,6117.2364950236315,5.0,0.9902430176734924,0.9902430176734924,False,8.14,2023-10-29 00:00:00+00:00,2023-10-26 00:00:00+00:00,10.52,mss_invalidation,26.738914834486376,1
AVAX,2023-10-26 00:00:00+00:00,10.92,-1.0,8.83528,11.176252857142858,6150.66013856674,5.0,0.9847586154937744,0.9847586154937744,False,8.14,2023-10-31 04:00:00+00:00,2023-10-26 04:00:00+00:00,10.92,mss_invalidation,-7.995858180136762,1
NEAR,2023-10-26 04:00:00+00:00,1.179,-1.0,0.9552840000000004,1.2064990714285715,6140.665315841569,5.0,0.9823764562606812,0.9823764562606812,False,8.14,2023-10-31 08:00:00+00:00,2023-10-26 08:00:00+00:00,1.178,mss_invalidation,-2.774497382313925,1
NEAR,2023-10-26 08:00:00+00:00,1.194,-1.0,0.9682240000000002,1.2217522857142857,3682.318316468206,3.0,0.9538102746009827,0.9538102746009827,False,8.14,2023-10-31 12:00:00+00:00,2023-10-27 12:00:00+00:00,1.203,mss_invalidation,-32.54318202599351,1
UNI,2023-10-23 20:00:00+00:00,4.378,-1.0,3.813148000000001,4.447431357142857,6117.2364950236315,5.0,0.9781382083892822,0.9781382083892822,False,8.14,2023-10-29 00:00:00+00:00,2023-10-29 00:00:00+00:00,4.07,time,424.2411098885482,1
ICP,2023-10-29 08:00:00+00:00,3.945,-1.0,3.544821428571429,4.051714285714286,994.0229405912804,1.0,0.833325207233429,0.833325207233429,False,3.75,2023-11-03 12:00:00+00:00,2023-10-29 16:00:00+00:00,3.881,mss_invalidation,14.833871114580386,1
NEAR,2023-10-27 12:00:00+00:00,1.249,-1.0,1.0294040000000002,1.2759926428571429,3657.910929948711,3.0,0.9270161390304565,0.9270161390304565,False,8.14,2023-11-01 16:00:00+00:00,2023-10-29 20:00:00+00:00,1.25,mss_invalidation,-7.683955890237014,1
ATOM,2023-10-30 08:00:00+00:00,7.446,-1.0,6.8098719999999995,7.524192571428571,2654.30279918892,2.0,0.9166384935379028,0.9166384935379028,False,8.14,2023-11-04 12:00:00+00:00,2023-10-30 12:00:00+00:00,7.446,mss_invalidation,-3.4505936389455956,1
NEAR,2023-10-29 20:00:00+00:00,1.277,-1.0,1.1159080000000001,1.296801357142857,1327.15139959446,1.0,0.8281644582748413,0.8281644582748413,False,8.14,2023-11-04 00:00:00+00:00,2023-10-30 16:00:00+00:00,1.296801357142857,sl,-22.304309228253107,1
