asset,entry_ts,entry_price,direction,take_profit,stop_loss,position_usd,leverage,confidence,entry_confidence,breakeven_activated,rr_ratio,max_hold_bar,exit_ts,exit_price,outcome,pnl_usd
OP,2026-02-15 00:00:00+00:00,0.1958,1.0,0.20852863883432465,0.19090137822771155,2500.0,2.0,0.8645831942558289,0.8645831942558289,False,2.6,2026-02-20 04:00:00+00:00,2026-02-15 12:00:00+00:00,0.19090137822771155,sl,-65.7962432621099
FIL,2026-02-15 08:00:00+00:00,0.994,1.0,1.068711575766688,0.96524722003222,3750.0,3.0,0.9367883205413818,0.9367883205413818,False,2.6,2026-02-20 12:00:00+00:00,2026-02-15 16:00:00+00:00,0.96524722003222,sl,-113.34876748407957
ATOM,2026-02-16 20:00:00+00:00,2.292,-1.0,1.9726999999999995,2.331248214285714,3615.6412419403578,3.0,0.9451543688774109,0.9451543688774109,False,8.14,2026-02-22 00:00:00+00:00,2026-02-18 12:00:00+00:00,2.303,mss_invalidation,-22.0528875679886
NEAR,2026-02-15 20:00:00+00:00,1.056,1.0,1.124964531476943,1.0294589723374339,1205.2137473134526,1.0,0.7526471018791199,0.7526471018791199,False,2.6,2026-02-21 00:00:00+00:00,2026-02-18 16:00:00+00:00,1.0294589723374339,sl,-31.858076552143256
ATOM,2026-02-18 12:00:00+00:00,2.435,1.0,2.6495563201504893,2.352427913938683,5998.5026271072775,5.0,0.9715642333030701,0.9715642333030701,False,2.6,2026-02-23 16:00:00+00:00,2026-02-18 20:00:00+00:00,2.352427913938683,sl,-211.2103224766516
UNI,2026-02-18 20:00:00+00:00,3.403,1.0,3.6822637817831763,3.295525221317016,3416.8002769927707,3.0,0.9547401070594788,0.9547401070594788,False,2.6,2026-02-24 00:00:00+00:00,2026-02-19 12:00:00+00:00,3.388,mss_invalidation,-19.50267026161631
OP,2026-02-18 20:00:00+00:00,0.1655,-1.0,0.13633040000000002,0.1627,2277.866851328514,2.0,0.8626101016998291,0.8626101016998291,True,8.14,2026-02-24 00:00:00+00:00,2026-02-19 16:00:00+00:00,0.13633040000000002,tp,399.199262493156
OP,2026-02-19 16:00:00+00:00,0.1387,1.0,0.15917650595087007,0.1308196084532751,2467.715147444284,2.0,0.8698680400848389,0.8698680400848389,False,2.6,2026-02-24 20:00:00+00:00,2026-02-20 00:00:00+00:00,0.1396,mss_invalidation,12.804541560664788
DOT,2026-02-19 12:00:00+00:00,1.274,-1.0,1.118264,1.293143,5670.2887904942645,5.0,0.9708448052406311,0.9708448052406311,False,8.14,2026-02-24 16:00:00+00:00,2026-02-20 04:00:00+00:00,1.293143,sl,-92.57258289736876
ICP,2026-02-18 16:00:00+00:00,2.26,-1.0,2.015392857142857,2.2465499999999996,2681.406014137695,3.0,0.9433720111846924,0.9433720111846924,True,3.75,2026-02-23 20:00:00+00:00,2026-02-23 16:00:00+00:00,2.015392857142857,tp,287.53587892311054
FIL,2026-02-21 08:00:00+00:00,1.001,-1.0,0.863804,0.9936499999999999,2427.831126775932,2.0,0.9008442163467407,0.9008442163467407,True,8.14,2026-02-26 12:00:00+00:00,2026-02-24 12:00:00+00:00,0.863804,tp,330.3281321790687
POL,2026-02-21 12:00:00+00:00,0.1148,-1.0,0.0992676,0.1141,1213.915563387966,1.0,0.806942880153656,0.806942880153656,True,8.14,2026-02-26 16:00:00+00:00,2026-02-25 00:00:00+00:00,0.1141,sl,5.823833934595501
OP,2026-02-20 00:00:00+00:00,0.1295,-1.0,0.08788800000000004,0.13461492857142857,2474.1174182246164,2.0,0.9106047749519348,0.9106047749519348,False,8.14,2026-02-25 04:00:00+00:00,2026-02-25 04:00:00+00:00,0.1183,time,211.5036052390395
DOT,2026-02-24 12:00:00+00:00,1.248,1.0,1.3325028364084763,1.25635,4105.144698490532,3.0,0.921913206577301,0.921913206577301,True,2.6,2026-03-01 16:00:00+00:00,2026-02-25 08:00:00+00:00,1.3325028364084763,tp,273.856690950283
ICP,2026-02-23 16:00:00+00:00,2.043,1.0,2.3056071428571427,2.0580000000000003,4821.748249195288,5.0,0.9711486101150513,0.9711486101150513,True,3.75,2026-02-28 20:00:00+00:00,2026-02-25 12:00:00+00:00,2.3056071428571427,tp,614.9655896350945
UNI,2026-02-25 12:00:00+00:00,3.94,1.0,4.32420055344408,3.99175,4934.756988309791,3.0,0.9585896134376526,0.9585896134376526,True,2.6,2026-03-02 16:00:00+00:00,2026-02-26 04:00:00+00:00,3.99175,sl,58.40046925149996
LINK,2026-02-25 12:00:00+00:00,9.27,1.0,9.970287989380068,9.000493885772089,4934.756988309791,3.0,0.9650254249572754,0.9650254249572754,False,2.6,2026-03-02 16:00:00+00:00,2026-02-27 08:00:00+00:00,9.000493885772089,sl,-149.88305685485648
POL,2026-02-28 08:00:00+00:00,0.1014,1.0,0.1105739855143711,0.10222,1622.0483492024248,1.0,0.7856891751289368,0.7856891751289368,True,2.6,2026-03-05 12:00:00+00:00,2026-03-01 00:00:00+00:00,0.1105739855143711,tp,145.12990489727287
