asset,entry_ts,entry_price,direction,take_profit,stop_loss,position_usd,leverage,confidence,entry_confidence,breakeven_activated,rr_ratio,max_hold_bar,exit_ts,exit_price,outcome,pnl_usd,fold
UNI,2024-11-15 04:00:00+00:00,8.085190773010254,1.0,8.851123515512608,8.133950185775756,6250.0,5.0,0.9792962670326233,0.9792962670326233,True,2.57,2024-11-20 08:00:00+00:00,2024-11-16 00:00:00+00:00,8.851123515512608,tp,585.8299861173099,1
SUI,2024-11-15 20:00:00+00:00,3.615576982498169,1.0,3.9445511476342183,3.6556419849395754,0.0,0.0,0.6808367967605591,0.6808367967605591,True,2.57,2024-11-21 00:00:00+00:00,2024-11-16 12:00:00+00:00,3.6556419849395754,sl,0.0,1
TRX,2024-11-16 08:00:00+00:00,0.19806846976280212,-1.0,0.17416071987152099,0.20100719976850917,4189.372489587982,3.0,0.9641002416610718,0.9641002416610718,False,8.14,2024-11-21 12:00:00+00:00,2024-11-16 16:00:00+00:00,0.20100719976850917,sl,-67.60365258556331,1
FIL,2024-11-16 16:00:00+00:00,4.673177242279053,-1.0,3.8160184593200683,4.778538819449288,4138.66975014881,3.0,0.9572007656097412,0.9572007656097412,False,8.14,2024-11-21 20:00:00+00:00,2024-11-21 20:00:00+00:00,4.540943145751953,time,112.97078851813343,1
ADA,2024-11-22 00:00:00+00:00,0.8685449957847595,1.0,0.9471238328258029,0.8792739361524582,4223.3978415374095,3.0,0.9211376309394836,0.9211376309394836,True,2.57,2024-11-27 04:00:00+00:00,2024-11-22 16:00:00+00:00,0.9471238328258029,tp,377.8750453713063,1
ADA,2024-11-22 16:00:00+00:00,0.9666295647621155,1.0,1.0482684496457797,0.9849799484014511,0.0,0.0,0.6564872860908508,0.6564872860908508,True,2.57,2024-11-27 20:00:00+00:00,2024-11-23 00:00:00+00:00,1.0482684496457797,tp,0.0,1
AVAX,2024-11-23 00:00:00+00:00,43.82176208496094,-1.0,34.72199592590332,44.94030130250113,4506.80412556589,3.0,0.9371575713157654,0.9371575713157654,False,8.14,2024-11-28 04:00:00+00:00,2024-11-25 04:00:00+00:00,44.94030130250113,sl,-120.89386267823804,1
UNI,2024-11-25 04:00:00+00:00,11.51230525970459,-1.0,8.712875244140625,11.856409954752241,2944.089152371474,2.0,0.8606552481651306,0.8606552481651306,False,8.14,2024-11-30 08:00:00+00:00,2024-11-25 08:00:00+00:00,11.509345054626465,mss_invalidation,-3.0702904837371543,1
UNI,2024-11-25 08:00:00+00:00,11.815825462341309,-1.0,9.032994876861572,12.157889762810298,2942.5540071296055,2.0,0.8689301013946533,0.8689301013946533,False,8.14,2024-11-30 12:00:00+00:00,2024-11-25 12:00:00+00:00,11.816547393798828,mss_invalidation,-4.005106404483331,1
UNI,2024-11-25 12:00:00+00:00,12.259613990783691,1.0,13.319216072883108,11.846775743026257,0.0,0.0,0.6445749402046204,0.6445749402046204,False,2.57,2024-11-30 16:00:00+00:00,2024-11-25 16:00:00+00:00,11.846775743026257,sl,-0.0,1
