asset,entry_ts,entry_price,direction,take_profit,stop_loss,position_usd,leverage,confidence,entry_confidence,breakeven_activated,rr_ratio,max_hold_bar,exit_ts,exit_price,outcome,pnl_usd,fold,strategy_version,confidence_thresh,tp_atr_mult,sl_atr_mult,rr_ratio_implied
ADA,2024-11-15 20:00:00+00:00,0.6993205547332764,-1.0,0.5175132895134149,0.721672582281252,2500.0,2.0,0.9069807529449463,0.9069807529449463,False,8.13,2024-11-21 00:00:00+00:00,2024-11-16 00:00:00+00:00,0.7034739255905151,mss_invalidation,-18.097879234805564,1,v5.1_hunter,0.7861,5.7684,0.7092,8.13
TRX,2024-11-16 08:00:00+00:00,0.19806846976280212,-1.0,0.1741591147604034,0.20100797034338488,6227.377650956492,5.0,0.9733928442001343,0.9733928442001343,False,8.13,2024-11-21 12:00:00+00:00,2024-11-16 16:00:00+00:00,0.20100797034338488,sl,-100.51504691728424,1,v5.1_hunter,0.7861,5.7684,0.7092,8.13
SUI,2024-11-16 00:00:00+00:00,3.8524248600006104,-1.0,2.926961595260762,3.966204583616654,3736.4265905738957,3.0,0.9474818110466003,0.9474818110466003,False,8.13,2024-11-21 04:00:00+00:00,2024-11-21 04:00:00+00:00,3.5232067108154297,time,315.5688139832391,1,v5.1_hunter,0.7861,5.7684,0.7092,8.13
LINK,2024-11-18 12:00:00+00:00,15.158904075622559,-1.0,12.19547838200141,15.52323810077879,2440.693536923955,2.0,0.9035669565200806,0.9035669565200806,False,8.13,2024-11-23 16:00:00+00:00,2024-11-22 20:00:00+00:00,15.264217376708984,mss_invalidation,-20.129107141059816,1,v5.1_hunter,0.7861,5.7684,0.7092,8.13
AVAX,2024-11-22 20:00:00+00:00,43.03418731689453,-1.0,34.125433009115305,44.12946104792403,2588.4133903450447,2.0,0.8644886612892151,0.8644886612892151,False,8.13,2024-11-28 00:00:00+00:00,2024-11-23 00:00:00+00:00,43.07826614379883,mss_invalidation,-6.016183611997933,1,v5.1_hunter,0.7861,5.7684,0.7092,8.13
UNI,2024-11-23 00:00:00+00:00,10.152812004089355,-1.0,8.011203837499524,10.416108878824788,3878.1079478085685,3.0,0.9348409175872803,0.9348409175872803,False,8.13,2024-11-28 04:00:00+00:00,2024-11-23 04:00:00+00:00,10.154115676879883,mss_invalidation,-5.539509151848529,1,v5.1_hunter,0.7861,5.7684,0.7092,8.13
UNI,2024-11-23 04:00:00+00:00,10.493221282958984,-1.0,8.254837053901714,10.768416148743569,3873.9533159446823,3.0,0.9631631970405579,0.9631631970405579,False,8.13,2024-11-28 08:00:00+00:00,2024-11-23 12:00:00+00:00,10.482870101928711,mss_invalidation,-1.2146253070832813,1,v5.1_hunter,0.7861,5.7684,0.7092,8.13
UNI,2024-11-23 12:00:00+00:00,11.281947135925293,-1.0,8.906417740251136,11.574003113055374,3873.04234696437,3.0,0.9628078937530518,0.9628078937530518,False,8.13,2024-11-28 16:00:00+00:00,2024-11-25 04:00:00+00:00,10.90285873413086,mss_invalidation,125.10440969721661,1,v5.1_hunter,0.7861,5.7684,0.7092,8.13
SUI,2024-11-24 08:00:00+00:00,3.3368210792541504,-1.0,2.684653124932484,3.4170009117997657,1291.01411565479,1.0,0.8419999480247498,0.8419999480247498,False,8.13,2024-11-29 12:00:00+00:00,2024-11-25 04:00:00+00:00,3.4170009117997657,sl,-32.69984846798167,1,v5.1_hunter,0.7861,5.7684,0.7092,8.13
UNI,2024-11-25 04:00:00+00:00,11.51230525970459,-1.0,8.712687296874098,11.856500183671569,3942.345767886296,3.0,0.9231531023979187,0.9231531023979187,False,8.13,2024-11-30 08:00:00+00:00,2024-11-25 08:00:00+00:00,11.509345054626465,mss_invalidation,-4.111338369285728,1,v5.1_hunter,0.7861,5.7684,0.7092,8.13
UNI,2024-11-25 08:00:00+00:00,11.815825462341309,-1.0,9.032808044042447,12.157979456710487,2626.1748427395546,2.0,0.9171813130378723,0.9171813130378723,False,8.13,2024-11-30 12:00:00+00:00,2024-11-25 12:00:00+00:00,11.816547393798828,mss_invalidation,-3.574483138275301,1,v5.1_hunter,0.7861,5.7684,0.7092,8.13
SUI,2024-11-26 08:00:00+00:00,3.0469741821289062,-1.0,2.3340745696735175,3.134620579302715,1312.1938005852085,1.0,0.8380415439605713,0.8380415439605713,False,8.13,2024-12-01 12:00:00+00:00,2024-11-26 12:00:00+00:00,3.134620579302715,sl,-39.451186210296534,1,v5.1_hunter,0.7861,5.7684,0.7092,8.13
FIL,2024-11-30 12:00:00+00:00,6.640239238739014,-1.0,5.623062651273759,6.76529452229264,2604.6620080652688,2.0,0.8813449740409851,0.8813449740409851,False,8.13,2024-12-05 16:00:00+00:00,2024-11-30 16:00:00+00:00,6.636902809143066,mss_invalidation,-2.077331948955677,1,v5.1_hunter,0.7861,5.7684,0.7092,8.13
FIL,2024-11-30 16:00:00+00:00,6.9931230545043945,-1.0,5.824105140558707,7.136846247221648,2603.623342090791,2.0,0.9062365889549255,0.9062365889549255,False,8.13,2024-12-05 20:00:00+00:00,2024-11-30 20:00:00+00:00,6.993466377258301,mss_invalidation,-3.5125335117028333,1,v5.1_hunter,0.7861,5.7684,0.7092,8.13
FIL,2024-11-30 20:00:00+00:00,7.106132984161377,-1.0,5.877077344471081,7.2572374270071025,3902.8006130024096,3.0,0.9302826523780823,0.9302826523780823,False,8.13,2024-12-06 00:00:00+00:00,2024-12-02 16:00:00+00:00,7.2572374270071025,sl,-88.06259040988053,1,v5.1_hunter,0.7861,5.7684,0.7092,8.13
LINK,2024-12-02 16:00:00+00:00,23.90398597717285,-1.0,18.633262202624298,24.55198738054916,2557.8357801299994,2.0,0.8833429217338562,0.8833429217338562,False,8.13,2024-12-07 20:00:00+00:00,2024-12-02 20:00:00+00:00,23.81458282470703,mss_invalidation,6.241359519277881,1,v5.1_hunter,0.7861,5.7684,0.7092,8.13
ICP,2024-12-02 20:00:00+00:00,13.76146411895752,-1.0,11.362793718065534,14.401109559195381,2881.076017375843,3.0,0.9609447121620178,0.9609447121620178,False,3.75,2024-12-08 00:00:00+00:00,2024-12-03 00:00:00+00:00,13.766401290893555,mss_invalidation,-4.779036489018053,1,v5.1_hunter,0.7861,5.7684,0.7092,8.13
ADA,2024-12-03 00:00:00+00:00,1.305436372756958,-1.0,0.9886781435428507,1.3443797486274411,1279.2834708225646,1.0,0.7933645844459534,0.7933645844459534,False,8.13,2024-12-08 04:00:00+00:00,2024-12-08 04:00:00+00:00,1.204048991203308,time,98.07691961829777,1,v5.1_hunter,0.7861,5.7684,0.7092,8.13
